word			count
Pat			3
Pennyworth			2
Pepper			1
Pepper_			1
Perhaps			3
Pig			1
Pigeon			11
Pinch			1
Plain			2
Please			6
Pluck			1
Pool			2
Poor			2
Pray			3
Presently			2
Prima			1
Prizes			2
Produced			2
Proem			1
Professor			1
Project			83
Proofreading			2
Public			1
Puss			1
QUADRILLE			1
QUEEN			2
Quadrille			3
Quadrille_			1
Queen			79
Queens			1
Quick			1
RABBIT			3
RACE			1
RACKHAM			1
READ			1
REFUND			1
REMEDIES			1
REPLACEMENT			1
REPRODUCED			1
RIGHT			1
RIP			1
Rabbit			45
Rackham			2
Read			1
Really			2
Redistributing			1
Redistribution			1
Reeling			1
Refund			1
Release			1
Repeat			1
Replacement			1
Revenue			1
Right			3
Rome			2
Royalty			2
Rule			1
Run			1
S			13
SEND			1
SENDS			1
SOUP			1
START			2
STOLE			1
STORY			1
STREET			1
STRICT			1
SUCH			1
Said			3
Salt			1
Same			1
Seals			1
Seaography			1
Section			7
Sections			1
Secunda			1
See			3
Sent			1
Sentence			1
Serpent			3
Service			1
Seven			5
Sh			1
Sha			1
Shakespeare			1
Shall			2
Shark			1
She			39
Sidenote			12
Silence			3
Sing			1
Sit			1
Sixteenth			1
So			27
Soles			1
Some			3
Somebody			1
Soo			7
Soon			1
Sounds			1
Soup			12
Soup_			1
Speak			2
Special			1
Srna			2
Stand			1
States			10
Stigand			1
Still			1
Stole			1
Stop			1
Story_			1
Stretching			1
Stuff			1
Stupid			1
Such			1
Suddenly			1
Suppose			2
Suppress			1
Sure			4
Swim			1
T			1
TALE			1
TARTS			1
TAVISTOCK			1
TEA			1
TEARS			1
TENNIEL			1
TEXT			1
THAT			2
THE			18
THERE			1
THEY			1
THIS			5
THOSE			1
TO			2
TRADEMARK			1
TURTLE			1
Table			1
Take			4
Tale_			1
Talking			1
Tarts			2
Taste			1
Tea			3
Team			2
Tears			1
Tears_			2
Tell			5
Ten			1
Terms			2
Tertia			1
Thank			3
That			29
The			120
Their			1
Then			21
There			36
Therefore			1
These			1
They			22
Thinking			1
This			24
Those			1
Though			1
Three			1
Thus			3
Tillie			1
Time			3
Tis			4
Title			1
To			8
Too			1
Tortoise			3
Transcriber			1
Treacle			2
Trims			1
Truth			1
Turn			5
Turtle			60
Tut			1
Twenty			1
Twinkle			2
Two			6
Type			1
Types			1
U			3
UNDER			1
USE			1
UT			1
Ugh			2
Uglification			2
United			10
University			2
Unless			1
Up			2
Updated			1
Use			2
V			2
VAN			1
VI			2
VII			2
VIII			2
Vanilla			2
Very			5
Visit			1
Volunteers			1
W			1
WARRANTIES			2
WARRANTY			2
WHO			1
WILL			1
WILLIAM			1
WINKLE			1
WITH			2
WONDERLAND			4
WORK			1
Waiting			1
Wake			2
Was			1
We			11
Web			3
Well			23
West			1
What			43
When			10
Where			5
Which			8
While			8
White			21
Who			14
Whoever			1
Why			30
Will			6
William			6
William_			2
With			6
Wonderland			6
Would			8
Wouldn			1
Wow			2
Write			1
Writhing			1
X			2
XI			2
XII			2
YORK			1
YOU			7
Yes			12
Yet			4
You			61
Your			2
Zealand			1
_			18
_A			3
_AUSTIN			1
_Advice			2
_Alice			1
_All			1
_An			1
_Are_			1
_At			1
_But			1
_Down			1
_Enchanting			1
_Everybody_			1
_Frontispiece_			1
_Here			1
_How			2
_I			7
_I_			16
_If			1
_It			2
_Pig			1
_Pool			1
_She_			1
_Stolen			1
_That_			3
_The			8
_They			1
_To			1
_Turtle			1
_Twinkle			1
_Un_important			2
_We			1
_What			1
_What_			1
_Who			2
_Why			1
_You			3
_You_			1
_all_			2
_and			1
_are_			2
_at			1
_before			1
_beg_			1
_began_			1
_begins_			1
_best_			2
_can_			4
_could_			3
_curtseying_			1
_don			1
_ever_			2
_fit_			1
_fits_			1
_hated_			1
_have_			3
_he_			3
_her_			1
_here_			2
_him_			1
_his_			1
_in_			1
_inside_			1
_is_			9
_it_			2
_less_			1
_little_			1
_me_			4
_mine_			2
_more_			2
_must_			3
_myself_			1
_never_			2
_no_			1
_not_			7
_one_			3
_ours_			1
_outside_			1
_please_			1
_plenty_			1
_poison_			1
_precious_			1
_proves_			1
_quite_			2
_red_			1
_said			1
_said_			1
_she			1
_she_			2
_sit_			1
_some_			1
_somebody_			1
_something_			1
_somewhere_			1
_speaker_			1
_that			3
_that_			9
_their_			1
_then_			1
_there_			1
_these_			1
_they			1
_think_			4
_this_			3
_through_			1
_took			1
_two_			1
_very_			14
_was_			5
_what_			6
_whatever_			1
_will_			3
_would_			5
_yet_			1
_you_			11
_your_			7
_yours_			1
a			687
abide			2
able			1
about			101
above			3
absence			1
absurd			2
accept			1
acceptance			1
accepted			2
accepting			1
access			10
accessed			1
accessible			1
accident			2
accidentally			1
accordance			2
account			1
accounting			1
accounts			1
accusation			1
accustomed			1
ache			1
across			5
act			1
active			2
actually			1
added			28
adding			1
addition			1
additional			3
additions			1
address			1
addressed			2
addresses			1
addressing			1
adjourn			1
adoption			1
advance			3
advantage			3
adventures			4
advice			1
advisable			2
advise			1
affair			1
affectionately			1
afford			1
afore			1
afraid			12
afresh			1
after			36
afternoon			1
afterwards			2
again			85
against			10
age			4
aged			1
agent			1
ago			2
agony			1
agree			9
agreed			1
agreement			17
air			17
airs			1
alarm			3
alarm_			1
alarmed			1
alas			3
alive			3
all			194
all_			1
allow			3
almost			8
alone			6
along			5
aloud			5
already			3
also			4
alteration			1
altered			1
alternate			1
alternately			1
altogether			5
always			12
am			16
among			12
an			58
ancient			1
and			885
anger			2
angrily			11
angry			6
animal			2
animals			4
annoy			1
annoyed			1
another			23
answer			9
answered			4
answers			1
anxious			3
anxiously			14
any			73
anyone			5
anything			21
anywhere			3
apiece			1
apostrophe			1
appealed			1
appear			3
appearance			1
appeared			8
appearing			2
appears			1
applause			1
apples			2
applicable			3
apply			1
approach			1
arch			1
archbishop			1
arches			4
are			71
argue			1
argued			1
argument			4
arguments			1
arise			1
arm			16
arms			7
around			3
arranged			1
array			1
arrived			1
arrow			1
arrum			1
art			1
as			257
ashamed			2
ask			11
askance			1
asked			17
asking			6
asleep			8
assembled			2
assistance			1
associated			8
at			215
ate			1
atom			2
attached			1
attempt			2
attempted			1
attended			1
attending			3
attends			1
audibly			1
authority			2
avail			1
available			4
avoid			1
away			29
awfully			1
axes			1
axis			1
b			1
baby			14
back			39
backs			1
bad			2
bag			1
baked			1
balanced			1
balls			1
band			1
bank			3
banks			1
banquet			1
bark			2
barking			1
barley			1
barrowful			2
based			3
bat			3
bathing			1
bats			4
bawled			1
be			168
beak			1
bear			2
beast			2
beasts			2
beat			4
beating			2
beauti			1
beautiful			8
beautifully			2
beautify			1
became			2
because			15
become			6
becoming			1
bed			1
beds			2
bee_			1
been			38
before			37
beg			8
began			57
begged			1
begin			13
beginning			15
begins			3
begun			7
beheaded			3
beheading			1
behind			13
being			19
believe			10
believed			1
bells			1
belong			1
belongs			2
beloved			1
below			6
belt			1
bend			2
bent			1
besides			3
best			10
better			14
between			5
bill			1
binary			1
bird			3
birds			9
birthday			1
bit			16
bite			2
bitter			1
blacking			1
blades			1
blame			1
blasts			2
bleeds			1
blew			2
blow			2
blown			1
blows			1
blue			1
body			2
boldly			1
bone			1
bones			1
book			11
books			2
boon			1
boots			3
bore			1
both			17
bother			1
bottle			10
bottom			4
bough			1
bound			3
bowed			4
bowing			1
box			10
boxed			1
boy			3
brain			1
branch			1
branches			2
brass			1
brave			1
bread			7
break			2
breath			7
breathe			3
breeze			1
bright			8
brightened			2
bring			2
bringing			3
bristling			1
broke			2
broken			6
brother			1
brought			3
brown			2
brush			1
brushing			1
burn			2
burning			1
burnt			1
burst			1
bursting			1
busily			4
business			9
busy			2
but			137
butter			9
buttercup			1
buttered			1
butterfly			1
buttons			1
by			84
bye			2
c			3
ca			4
cake			3
cakes			3
calculate			1
calculated			1
call			5
called			16
calling			1
calmly			1
came			42
camlet			1
camomile			1
can			64
candle			3
cannot			5
canvas			1
capering			1
capital			4
card			1
cardboard			1
cards			3
care			4
carefully			3
cares			2
carried			6
carrier			1
carry			2
carrying			2
cart			2
case			5
cat			12
